Name,Lon,Lat,Source,M2_amp,M2_phs,S2_amp,S2_phs,N2_amp,N2_phs,K2_amp,K2_phs,K1_amp,K1_phs,O1_amp,O1_phs,P1_amp,P1_phs,Q1_amp,Q1_phs,Location
"DART_46404   (2006",-128.778,45.859,Truth_Pelagic,0.809,235.66,0.227,265.13,0.166,209.9,0.06,256.9,0.407,240.08,0.251,224.91,0.127,236.63,0.045,216.37,Deep
"DART_46407   (2008",-128.9,42.604,Truth_Pelagic,0.666,227.04,0.171,255.32,0.137,200.54,0.045,247.11,0.381,235.5,0.235,220.39,0.12,231.65,0.042,212.76,Deep
"DART_46408   (2006",-169.871,49.626,Truth_Pelagic,0.293,340.27,0.103,346.31,0.074,321.87,0.028,337.92,0.356,296.63,0.239,281.25,0.112,293.49,0.045,272.67,Deep
"DART_46411   (2005",-127.013,39.331,Truth_Pelagic,0.539,209.56,0.121,227.22,0.114,181.73,0.033,217.54,0.37,228.61,0.23,213.74,0.116,224.73,0.042,204.64,Deep
"DART_46419   (2006",-129.617,48.762,Truth_Pelagic,0.913,243.73,0.267,273.35,0.187,218.5,0.071,265.6,0.427,244.9,0.262,229.43,0.134,241.47,0.048,222.26,Deep
"DART_51425   (2008",-176.245,-9.493,Truth_Pelagic,0.514,155.74,0.192,154.23,0.127,149.02,0.052,148.04,0.061,63.72,0.04,46.09,0.019,58.95,0.008,32.93,Deep
"DART_51426   (2008",-168.098,-22.993,Truth_Pelagic,0.401,201.7,0.058,278.11,0.098,174.17,0.014,276.29,0.041,58.79,0.028,58.81,0.013,52.42,0.005,55.78,Deep
"DART_52401   (2007",155.766,19.286,Truth_Pelagic,0.129,123.13,0.083,159.16,0.018,108.98,0.024,152.22,0.121,53.16,0.087,26.87,0.038,51.28,0.018,15.51,Deep
"DART_52402   (2006",154.584,11.569,Truth_Pelagic,0.145,120.52,0.118,147.28,0.021,130.4,0.033,140.94,0.153,61.66,0.099,38.9,0.048,60.46,0.02,27.6,Deep
"DART_52403   (2006",145.597,4.033,Truth_Pelagic,0.157,291.09,0.005,194.91,0.044,261.16,0.002,123.82,0.21,65.35,0.132,49.17,0.066,64.59,0.026,40.47,Deep
"DART_52404   (2006",132.223,20.949,Truth_Pelagic,0.497,288.53,0.212,313.85,0.095,277.71,0.058,308.68,0.171,73.23,0.131,56.8,0.055,71.52,0.028,44.46,Deep
"DART_52405   (2006",132.333,12.881,Truth_Pelagic,0.52,290.56,0.217,318.4,0.099,276.86,0.059,314.19,0.18,76.35,0.125,62.09,0.058,74.93,0.026,53.55,Deep
"DART_52406   (2008",165.081,-5.332,Truth_Pelagic,0.501,145.43,0.277,154.48,0.104,145.24,0.077,148.64,0.157,54.58,0.09,34.95,0.047,51.89,0.017,24.91,Deep
"DART_54401   (2008",-172.985,-33.005,Truth_Pelagic,0.491,200.01,0.082,283.6,0.107,170.62,0.019,280.4,0.042,35.15,0.02,51.6,0.012,30.68,0.003,61.84,Deep
"DART_55015   (2008",160.562,-46.922,Truth_Pelagic,0.504,348.68,0.117,15.47,0.118,333.21,0.032,4.33,0.05,278,0.051,242.99,0.016,271.23,0.014,222.75,Deep
"DART_56001   (2009",110.004,-13.961,Truth_Pelagic,0.469,34.29,0.249,94.37,0.087,3.13,0.069,93.08,0.202,163.99,0.127,155.58,0.062,161.63,0.029,142.43,Deep
"DART_56003   (2009",117.989,-15.021,Truth_Pelagic,0.807,54.02,0.45,110.38,0.14,25.71,0.127,108.56,0.227,168.29,0.142,158.39,0.069,165.75,0.032,145.43,Deep
"DART_d125    (2002",-125.014,-8.489,Truth_Pelagic,0.585,34.6,0.057,69.38,0.132,8.73,0.013,54.48,0.053,251.38,0.029,210.3,0.016,248.11,0.006,177.54,Deep
"DART_d157    (2002",-156.941,52.65,Truth_Pelagic,0.636,304.83,0.222,332.05,0.138,283.02,0.061,326.02,0.405,276.88,0.259,261.62,0.128,273.4,0.046,256.15,Deep
"GLOUP 000085   b004",-4.98,60.528,Truth_Pelagic,0.588,225.01,0.22,256.34,0.119,203.53,NaN,NaN,0.083,140.48,0.063,5.61,NaN,NaN,0.021,320.98,Deep
"GLOUP 000092   b004",-0.007,63.132,Truth_Pelagic,0.439,287.78,0.147,322.6,0.089,265.71,NaN,NaN,0.075,155.65,0.062,35.41,NaN,NaN,0.019,345.43,Deep
"GLOUP 000095 ck2.",53.472,-46.871,Truth_Pelagic,0.143,152.83,0.039,189.34,0.033,134.15,0.01,184.41,0.025,151.57,0.023,279.96,0.006,154.22,0.009,260.96,Deep
"GLOUP 000098   dpc9",-56.355,-58.363,Truth_Pelagic,0.396,271.63,0.155,316.96,0.071,240.55,0.044,314.97,0.159,86.34,0.179,55.32,0.053,81.01,0.043,37.85,Deep
"GLOUP 000104   dpn9",-58.384,-54.944,Truth_Pelagic,0.386,273.12,0.117,311.36,0.08,241.53,0.034,308.98,0.153,108.08,0.162,55.99,0.05,101.17,0.041,33.57,Deep
"GLOUP 000105   dpnn",-57.502,-56.836,Truth_Pelagic,0.39,272.4,0.133,315.15,0.076,240.6,0.038,313.67,0.149,96.6,0.169,55.62,0.049,89.96,0.043,36.14,Deep
"GLOUP 000107   dps9",-54.717,-60.85,Truth_Pelagic,0.428,277.25,0.214,322.53,0.067,252.18,0.061,321.64,0.192,66.06,0.2,49.56,0.065,62.47,0.048,38.32,Deep
"GLOUP 000112   fp1.",-20.017,0,Truth_Pelagic,0.542,204,0.184,227.15,0.119,187.4,0.052,224.94,0.062,324.14,0.03,220.17,0.019,318,0.008,159.7,Deep
"GLOUP 000116   fs1.",-57.032,-53.54,Truth_Pelagic,0.357,280.76,0.124,311.88,0.074,254.51,0.036,307.53,0.12,120.04,0.169,62.9,0.038,110.54,0.04,44.89,Deep
"GLOUP 000128   fs2.",-52.483,-56.667,Truth_Pelagic,0.389,273.71,0.159,308.57,0.073,249.39,0.046,305.02,0.124,92.52,0.164,57.33,0.04,85.54,0.039,44.14,Deep
"GLOUP 000133   fs3.",-47.085,-60.052,Truth_Pelagic,0.408,269.32,0.206,300.35,0.066,249,0.059,298.02,0.15,66.12,0.179,49.07,0.048,65.39,0.041,37.97,Deep
