Station,Lon,Lat,Source,M2_amp,M2_phs,S2_amp,S2_phs,N2_amp,N2_phs,K2_amp,K2_phs,K1_amp,K1_phs,O1_amp,O1_phs,P1_amp,P1_phs,Q1_amp,Q1_phs,Location
"Reunion",55.287446,-20.922293,GESLA,0.174000,282.653015,0.092000,295.951996,0.045000,281.675995,0.025000,289.873993,0.053000,82.644997,0.033000,48.248001,0.017000,77.765999,0.007000,11.623000,Deep
"Rikitea",-134.953300,-23.125000,GESLA,0.265000,349.479004,0.091000,308.085999,0.068000,332.671997,0.027000,300.653992,0.024000,5.766000,0.018000,45.848000,0.009000,0.624000,0.004000,56.571999,Deep
"Rodrigues",63.418142,-19.668004,GESLA,0.400000,255.979004,0.250000,283.002991,0.075000,257.977997,0.072000,278.842010,0.055000,95.486000,0.037000,73.630997,0.017000,93.425003,0.006000,40.646000,Deep
"Rothera",-68.133300,-67.566700,GESLA,0.123000,259.188995,0.187000,63.337002,0.061000,145.871002,0.055000,67.610001,0.301000,88.085999,0.246000,73.274002,0.097000,85.734001,0.051000,66.003998,Deep
"Saint paul",77.537785,-38.712998,GESLA,0.398000,228.955002,0.214000,272.614990,0.072000,211.878006,0.061000,269.933990,0.069000,151.167999,0.033000,173.576004,0.020000,150.847000,0.008000,187.259003,Deep
"Saipan-b",145.737001,15.227176,GESLA,0.194000,297.248993,0.049000,309.669006,0.044000,279.056000,0.012000,306.605988,0.163000,66.235001,0.115000,46.949001,0.053000,63.924999,0.023000,33.887001,Deep
"Salalah",54.019484,16.937734,GESLA,0.315000,144.843994,0.124000,168.212006,0.084000,133.110992,0.034000,162.138000,0.364000,344.566010,0.187000,347.351990,0.111000,342.447998,0.040000,348.882996,Deep
"Salina cruz",-95.203300,16.160000,GESLA,0.485000,243.065994,0.080000,341.713013,0.107000,203.100006,0.017000,340.925995,0.103000,118.946999,0.070000,134.904007,0.033000,117.793999,0.016000,139.237000,Deep
"San felipe",-114.818300,31.018300,GESLA,1.606000,296.761993,0.936000,305.872009,0.433000,281.519989,0.260000,303.576996,0.406000,202.188004,0.258000,188.817993,0.125000,198.858002,0.047000,178.649002,Deep
"San felix",-80.108300,-26.291700,GESLA,0.263000,45.241001,0.070000,77.836998,0.059000,4.857000,0.022000,65.139999,0.143000,34.112999,0.088000,354.729004,0.044000,30.608999,0.016000,332.247009,Deep
"San francisco",-122.465000,37.806700,GESLA,0.577000,208.447006,0.136000,215.906006,0.123000,183.218994,0.041000,206.658997,0.370000,225.309998,0.231000,208.675003,0.116000,223.121994,0.040000,201.531998,Deep
"San juan-a",-75.200000,-15.366700,GESLA,0.256000,4.690000,0.068000,20.864000,0.063000,324.716003,0.024000,12.532000,0.155000,29.580000,0.083000,349.731995,0.046000,26.798000,0.014000,320.501007,Deep
"San martin-c",-67.100000,-68.133300,GESLA,0.117000,258.916992,0.187000,63.870998,0.071000,148.886993,0.054000,70.696999,0.300000,88.070999,0.242000,72.496002,0.095000,87.834000,0.054000,64.144997,Deep
"Santa barbara, ca",-119.685000,34.408300,GESLA,0.496000,156.580994,0.175000,150.580002,0.117000,133.843994,0.050000,143.339996,0.352000,212.481003,0.225000,197.136002,0.112000,209.042999,0.041000,188.776001,Deep
"Abashiri",144.287474,44.023171,JMA,0.171000,162.723007,0.079000,206.822998,nan,nan,nan,nan,0.214000,53.696999,0.221000,31.757000,nan,nan,nan,nan,Deep
"Aburatsubo",139.613352,35.139211,JMA,0.360000,227.246994,0.171000,255.126999,nan,nan,nan,nan,0.232000,37.513000,0.182000,18.783001,nan,nan,nan,nan,Deep
"Aoki",133.686906,34.367252,JMA,1.081000,58.833000,0.397000,92.572998,nan,nan,nan,nan,0.329000,102.226997,0.242000,78.266998,nan,nan,nan,nan,Deep
"Aomori",140.764081,40.835172,JMA,0.181000,183.097000,0.083000,221.246994,nan,nan,nan,nan,0.055000,19.403000,0.037000,8.353000,nan,nan,nan,nan,Deep
"Awashima",139.255236,38.466222,JMA,0.054000,171.190002,0.020000,203.300003,nan,nan,nan,nan,0.052000,209.850006,0.053000,184.039993,nan,nan,nan,nan,Deep
"Beppu",131.504302,33.299305,JMA,0.587000,338.450012,0.245000,6.990000,nan,nan,nan,nan,0.256000,74.389999,0.194000,52.610001,nan,nan,nan,nan,Deep
"Esashi",140.117905,41.867929,JMA,0.056000,180.643005,0.022000,218.473007,nan,nan,nan,nan,0.063000,238.326996,0.068000,207.417007,nan,nan,nan,nan,Deep
"Fukaura",139.923119,40.646711,JMA,0.051000,177.522995,0.021000,212.432999,nan,nan,nan,nan,0.053000,212.707001,0.053000,186.867004,nan,nan,nan,nan,Deep
"Fushikitoyama",137.069714,36.800687,JMA,0.059000,167.147003,0.022000,192.457001,nan,nan,nan,nan,0.053000,208.763000,0.052000,182.923004,nan,nan,nan,nan,Deep
"Gobo",135.167182,33.842417,JMA,0.481000,263.557007,0.218000,287.907013,nan,nan,nan,nan,0.220000,53.743000,0.172000,33.292999,nan,nan,nan,nan,Deep
"Hachijojima (Kaminato)",139.805407,33.134160,JMA,0.322000,239.330002,0.156000,266.190002,nan,nan,nan,nan,0.201000,41.500000,0.154000,24.629999,nan,nan,nan,nan,Deep
"Hachijojima (Yaene)",139.769821,33.096549,JMA,0.336000,245.117004,0.157000,270.006989,nan,nan,nan,nan,0.221000,50.033001,0.173000,28.563000,nan,nan,nan,nan,Deep
"Haedomari",130.877250,33.943432,JMA,0.355000,21.212999,0.172000,46.653000,nan,nan,nan,nan,0.120000,153.987000,0.125000,133.557007,nan,nan,nan,nan,Deep
"Hamada",132.063416,34.897912,JMA,0.079000,88.737000,0.039000,99.357002,nan,nan,nan,nan,0.072000,220.363007,0.087000,193.723007,nan,nan,nan,nan,Deep
"Hitachi",140.629782,36.498672,JMA,0.309000,201.033005,0.146000,233.882996,nan,nan,nan,nan,0.224000,29.017000,0.174000,11.677000,nan,nan,nan,nan,Deep
"Hiwasa",134.550000,33.716667,JMA,0.480000,263.799988,0.222000,289.079987,nan,nan,nan,nan,0.193000,49.939999,0.160000,35.529999,nan,nan,nan,nan,Deep
"Honmoku",139.689273,35.443429,JMA,0.445000,233.326996,0.218000,262.566986,nan,nan,nan,nan,0.246000,39.202999,0.194000,20.833000,nan,nan,nan,nan,Deep
"Ikuji",137.414527,36.889429,JMA,0.058000,167.507004,0.021000,194.477005,nan,nan,nan,nan,0.055000,208.873001,0.054000,182.492996,nan,nan,nan,nan,Deep
"Imabari",133.005665,34.074603,JMA,0.997000,47.349998,0.372000,81.000000,nan,nan,nan,nan,0.317000,100.949997,0.229000,78.230003,nan,nan,nan,nan,Deep
"Iyomishima",133.537683,33.995538,JMA,1.166000,56.060001,0.429000,90.370003,nan,nan,nan,nan,0.332000,102.730003,0.245000,78.720001,nan,nan,nan,nan,Deep
"Kagoshima",130.570851,31.583205,JMA,0.770000,303.416992,0.338000,329.277008,nan,nan,nan,nan,0.253000,70.612999,0.197000,50.393002,nan,nan,nan,nan,Deep
"Kannoura",134.306480,33.544063,JMA,0.479000,261.880005,0.213000,286.869995,nan,nan,nan,nan,0.211000,52.509998,0.164000,32.709999,nan,nan,nan,nan,Deep
"Kozushima",139.130721,34.210638,JMA,0.384000,246.233002,0.181000,272.252991,nan,nan,nan,nan,0.224000,47.247002,0.176000,27.087000,nan,nan,nan,nan,Deep
"Kure",133.250000,33.333333,JMA,0.499000,265.720001,0.220000,290.119995,nan,nan,nan,nan,0.216000,55.750000,0.167000,35.810001,nan,nan,nan,nan,Deep
"Kutsugata",141.129363,45.193541,JMA,0.037000,224.412994,0.020000,243.953003,nan,nan,nan,nan,0.054000,212.126999,0.054000,188.276993,nan,nan,nan,nan,Deep
"Matsumae",140.093305,41.421325,JMA,0.081000,200.710007,0.035000,237.490005,nan,nan,nan,nan,0.055000,126.790001,0.053000,113.500000,nan,nan,nan,nan,Deep
"Minamidaito",131.226788,25.870514,JMA,0.521000,285.893005,0.221000,311.233002,nan,nan,nan,nan,0.190000,69.527000,0.148000,51.957001,nan,nan,nan,nan,Deep
